case,backend,step,n_seeds,mean_reward,ci95_lower,ci95_upper
b300-tp4,liger_tp,75,4,0.4947916641831398,0.4264502036399497,0.5631331247263299
b300-tp4,liger_tp,76,4,0.4713541641831398,0.37155800821374724,0.5711503201525323
b300-tp4,liger_tp,77,4,0.3046875,0.2533755847371903,0.3559994152628097
b300-tp4,liger_tp,78,4,0.5000000074505806,0.40921365526712355,0.5907863596340376
b300-tp4,liger_tp,79,4,0.5260416716337204,0.4399141890117239,0.6121691542557169
b300-tp4,liger_tp,80,4,0.5416666567325592,0.4858660675163063,0.5974672459488122
b300-tp4,liger_tp,81,4,0.4088541641831398,0.3593591978711894,0.4583491304950902
b300-tp4,liger_tp,82,4,0.5520833432674408,0.4962827540511879,0.6078839324836938
b300-tp4,liger_tp,83,4,0.5208333358168602,0.4280514509687005,0.6136152206650198
b300-tp4,liger_tp,84,4,0.484375,0.3891574997050451,0.5795925002949549
b300-tp4,liger_tp,85,4,0.59375,0.5029636651326636,0.6845363348673364
b300-tp4,liger_tp,86,4,0.7083333283662796,0.6406651999611377,0.7760014567714215
b300-tp4,liger_tp,87,4,0.6302083283662796,0.5984691386703537,0.6619475180622055
b300-tp4,liger_tp,88,4,0.6796874850988388,0.6382493790039779,0.7211255911936997
b300-tp4,liger_tp,89,4,0.4635416716337204,0.3732610986767138,0.553822244590727
b300-tp4,liger_tp,90,4,0.7213541716337204,0.6799160655388595,0.7627922777285813
b300-tp4,liger_tp,91,4,0.4817708283662796,0.4426050536885443,0.5209366030440149
b300-tp4,liger_tp,92,4,0.5182291641831398,0.4461379920208275,0.5903203363454521
b300-tp4,liger_tp,93,4,0.6484375,0.5690895827206406,0.7277854172793594
b300-tp4,liger_tp,94,4,0.5963541865348816,0.5487454308839812,0.643962942185782
b300-tp4,liger_tp,95,4,0.6432291716337204,0.5884639611885528,0.697994382078888
b300-tp4,liger_tp,96,4,0.5572916716337204,0.49601559008534324,0.6185677531820976
b300-tp4,liger_tp,97,4,0.515625,0.4166350541418684,0.6146149458581316
b300-tp4,liger_tp,98,4,0.5416666641831398,0.4639218816503308,0.6194114467159488
b300-tp4,liger_tp,99,4,0.5078124925494194,0.44238050678798996,0.5732444783108488
b300-tp4,liger_tp,100,4,0.4713541641831398,0.40054470747608806,0.5421636208901915
